c_title	c_upload_time	c_duration	c_description	c_media_id	c_title_s	c_uploader	
王者荣耀德古拉解说：刘备拼命打法硬冲后排搏命流	2017-05-20 00:00:00	14:51	本期德古拉为大家带来王者局刘备第一视角实战攻略，强行上分，靠的事勇猛无敌！	q0505c5kr4k	王者荣耀德古拉解说：刘备拼命打法硬冲后排搏命流	德古拉Dracula	
王者荣耀德古拉解说：牛魔王者排位隔断战场以多欺少	2017-05-20 00:00:00	14:04	本期德古拉为大家带来王者局牛魔第一视角实战攻略，大招隔断战场，以多胜少就是省事！	t05056gwm1c	王者荣耀德古拉解说：牛魔王者排位隔断战场以多欺少	德古拉Dracula	
王者荣耀德古拉解说：杨戬速推残血开团身体好才是真的好	2017-05-14 00:00:00	08:10	本期德古拉为大家带来英雄杨戬战队赛第一视角视频，凯瑞不起来也要强上，这气势！	e0502mcbupc	王者荣耀德古拉解说：杨戬速推残血开团身体好才是真的好	德古拉Dracula	
王者荣耀德古拉解说：墨子攻装一炮封神各种秒杀	2017-05-14 00:00:00	14:29	本期德古拉为大家带来钻石局墨子第一视角实战攻略，炮神就有气势，一炮半血没毛病！	i050267ixqk	王者荣耀德古拉解说：墨子攻装一炮封神各种秒杀	德古拉Dracula	
王者荣耀德古拉解说：成吉思汗战队赛暴击破甲一路封神	2017-05-13 00:00:00	13:44	本期德古拉为大家带来战队赛成吉思汗第一视角实战攻略，暴击强上打的是节奏！	p0502e5k62v	王者荣耀德古拉解说：成吉思汗战队赛暴击破甲一路封神	德古拉Dracula	
王者荣耀德古拉解说：橘右京火焰山强控主宰大火球致胜	2017-05-13 00:00:00	05:16	本期德古拉为大家带来英雄橘右京火焰山模式第一视角视频，只要火球拿的稳，根本不会输！	r05022plsy0	王者荣耀德古拉解说：橘右京火焰山强控主宰大火球致胜	德古拉Dracula	
王者排位日志140杨戬排位三眼战神力挑二爷！	2017-05-12 00:00:00	09:32	本期德古拉为大家带来王者局杨戬第一视角实战攻略，不死战神就是刚，咬住就是死！	v05027sowtf	王者排位日志140杨戬排位三眼战神力挑二爷！	德古拉Dracula	
王者荣耀德古拉解说：辅助关羽策马奔腾强势躺赢！	2017-05-12 00:00:00	10:16	本期德古拉为大家带来王者局关羽第一视角实战攻略，前期被血虐，后期狂捡头！	p0502uk8tlv	王者荣耀德古拉解说：辅助关羽策马奔腾强势躺赢！	德古拉Dracula	
王者荣耀德古拉解说：太乙真人辅助炸人翻盘利器就是他！	2017-05-12 00:00:00	14:40	本期德古拉为大家带来王者局太乙真人第一视角实战攻略，强势辅助，神挡杀神！	n0502iowgkm	王者荣耀德古拉解说：太乙真人辅助炸人翻盘利器就是他！	德古拉Dracula	
王者荣耀德古拉解说：露娜半肉强行切后秒杀一切！	2017-05-12 00:00:00	20:08	本期德古拉为大家带来钻石局露娜第一视角实战攻略，慢工出细活，直切后排的快感！	p05026uq6rz	王者荣耀德古拉解说：露娜半肉强行切后秒杀一切！	德古拉Dracula	
王者荣耀德古拉解说：狄仁杰火焰山攻速玩命甩飞镖！	2017-05-11 00:00:00	05:21	本期德古拉为大家带来英雄狄仁杰火焰山模式第一视角视频，一顿乱射巧拿MVP！	j05028wsb14	王者荣耀德古拉解说：狄仁杰火焰山攻速玩命甩飞镖！	德古拉Dracula	
王者荣耀德古拉解说：甄姬乱斗弹弹球冰爽到极致！	2017-05-11 00:00:00	06:32	本期德古拉为大家带来英雄甄姬大乱斗模式第一视角视频，全程冰冻，享受极致快感！	l0502bwzgx5	王者荣耀德古拉解说：甄姬乱斗弹弹球冰爽到极致！	德古拉Dracula	
王者排位日志138王者晋级赛兰陵王大杀四方极限阴人！	2017-05-11 00:00:00	09:14	本期德古拉为大家带来王者晋级赛兰陵王第一视角实战攻略，实战阴人，打到敌人内心崩溃！	b0502b3ewcb	王者排位日志138王者晋级赛兰陵王大杀四方极限阴人！	德古拉Dracula	
王者荣耀德古拉解说：杨戬狗哥强势越塔浪死塔中！	2017-05-11 00:00:00	17:01	本期德古拉为大家带来王者局杨戬第一视角实战攻略，杨戬王者局的犀利常态，遇人秒人专切后排！	p0502c3f2lj	王者荣耀德古拉解说：杨戬狗哥强势越塔浪死塔中！	德古拉Dracula	
王者荣耀德古拉解说：半肉李白死磕到底强上高地就是钢！	2017-05-11 00:00:00	12:57	本期德古拉为大家带来钻石局李白第一视角实战攻略，半肉李白一样输出给力，而且能抗伤害！	l0502918yf7	王者荣耀德古拉解说：半肉李白死磕到底强上高地就是钢！	德古拉Dracula	
王者荣耀德古拉解说：钢猛花木兰以身挡塔一波上！	2017-05-11 00:00:00	12:16	本期德古拉为大家带来钻石局花木兰第一视角实战攻略，越塔强杀就为了上高地拆水晶！	k0502qjmllj	王者荣耀德古拉解说：钢猛花木兰以身挡塔一波上！	德古拉Dracula	
王者荣耀德古拉解说：宫本大乱斗以命搏命凶猛异常！	2017-05-10 00:00:00	08:59	本期德古拉为大家带来英雄宫本大乱斗模式第一视角视频，为了速推只能以命搏命的打法了！	s05013x193q	王者荣耀德古拉解说：宫本大乱斗以命搏命凶猛异常！	德古拉Dracula	
王者荣耀德古拉解说：张飞火焰山罩盾打辅助依旧很犀利！	2017-05-10 00:00:00	05:13	本期德古拉为大家带来英雄张飞火焰山模式第一视角视频，神级辅助罩盾也能拿到MVP！	h0501hss23k	王者荣耀德古拉解说：张飞火焰山罩盾打辅助依旧很犀利！	德古拉Dracula	
王者荣耀德古拉解说：逆风露娜绝地反击从来不怂！	2017-05-10 00:00:00	17:56	本期德古拉为大家带来钻石局露娜第一视角实战攻略，从来都是逆风翻盘，手不抖心不慌，温水煮青蛙！	v0501j48yrh	王者荣耀德古拉解说：逆风露娜绝地反击从来不怂！	德古拉Dracula	
王者排位日志【137】荣耀王者局杨戬6分钟15杀拆水晶！	2017-05-10 00:00:00	06:26	本期德古拉为大家带来荣耀王者局杨戬第一视角实战攻略，一个起飞的杨戬就是杀神，死磕越塔样样精通，6分钟15杀拆水晶傲视天下！	t0501x71j30	王者排位日志【137】荣耀王者局杨戬6分钟15杀拆水晶！	德古拉Dracula	
王者荣耀德古拉解说：极限攻速鲁班七号站桩横扫一切！	2017-05-10 00:00:00	12:28	本期德古拉为大家带来5V5匹配鲁班七号第一视角实战攻略，只要攻速跟的上，见什么打什么没毛病！	p0501e2692q	王者荣耀德古拉解说：极限攻速鲁班七号站桩横扫一切！	德古拉Dracula	
王者荣耀德古拉解说：王者局大逆风韩信的彪悍人生！	2017-05-10 00:00:00	13:06	本期德古拉为大家带来王者局韩信第一视角实战攻略，逆风也有顺风的战绩和态度，就是队友的玻璃心让我心碎！	h0501fu9ums	王者荣耀德古拉解说：王者局大逆风韩信的彪悍人生！	德古拉Dracula	
王者荣耀德古拉解说：扁鹊火焰山疯狂磨血神级辅助！	2017-05-10 00:00:00	06:02	本期德古拉为大家带来英雄扁鹊火焰山模式第一视角视频，能毒能奶，偷摸输出，我们就是神辅助！	j0501xsd0pr	王者荣耀德古拉解说：扁鹊火焰山疯狂磨血神级辅助！	德古拉Dracula	
王者荣耀德古拉解说：虞姬大乱斗精准预判极限24杀！	2017-05-10 00:00:00	13:13	本期德古拉为大家带来英雄虞姬大乱斗模式第一视角视频，神射手24杀，打得对面那叫一个肝颤！	s0501gv3te9	王者荣耀德古拉解说：虞姬大乱斗精准预判极限24杀！	德古拉Dracula	
王者排位日志【139】王者花木兰无限凯瑞就是浪！	2017-05-09 00:00:00	12:52	本期德古拉为大家带来王者局花木兰第一视角实战攻略，死亡是什么，花木兰并不知道，你来试试！	k05018q6b1w	王者排位日志【139】王者花木兰无限凯瑞就是浪！	德古拉Dracula	
王者荣耀德古拉解说：水货关羽前期被虐后期捡漏王！	2017-05-09 00:00:00	16:46	本期德古拉为大家带来王者局关羽第一视角实战攻略，前期被血虐，后期狂捡头！	j05018dqcqd	王者荣耀德古拉解说：水货关羽前期被虐后期捡漏王！	德古拉Dracula	
王者荣耀德古拉解说：成吉思汗照样打野发育克隐秒人！	2017-05-09 00:00:00	12:59	本期德古拉为大家带来钻石局成吉思汗第一视角实战攻略，反隐达人成吉思汗，专克隐匿没毛病！	v050134itfa	王者荣耀德古拉解说：成吉思汗照样打野发育克隐秒人！	德古拉Dracula	
王者荣耀德古拉解说：马可波罗神走位谁也杀不死我！	2017-05-09 00:00:00	13:09	本期德古拉为大家带来钻石局马可波罗第一视角实战攻略，快射手马可越塔强杀就是不死！	a0501ugj7v0	王者荣耀德古拉解说：马可波罗神走位谁也杀不死我！	德古拉Dracula	
王者荣耀德古拉解说：吕布火焰山挥戟战群雄！	2017-05-08 00:00:00	05:19	本期德古拉为大家带来英雄吕布火焰山模式第一视角视频，一二技能联动玩的风生水起！	z0501otmmzf	王者荣耀德古拉解说：吕布火焰山挥戟战群雄！	德古拉Dracula	
王者荣耀德古拉解说：李元芳乱斗膀胱局被打到怀疑人生！	2017-05-08 00:00:00	16:12	本期德古拉为大家带来英雄李元芳大乱斗模式第一视角视频，膀胱局大乱斗打到没脾气！	s05011w9jd8	王者荣耀德古拉解说：李元芳乱斗膀胱局被打到怀疑人生！	德古拉Dracula	
王者荣耀德古拉解说：钢猛花木兰以身挡塔一波上！	2017-05-08 00:00:00	11:58	本期德古拉为大家带来钻石局花木兰第一视角实战攻略，越塔强杀就为了上高地拆水晶！	a05006l225o	王者荣耀德古拉解说：钢猛花木兰以身挡塔一波上！	德古拉Dracula	
王者排位日志【138】王者晋级赛兰陵王大杀四方极限阴人！	2017-05-08 00:00:00	08:53	本期德古拉为大家带来王者晋级赛兰陵王第一视角实战攻略，实战阴人，打到敌人内心崩溃！	j05001om3e0	王者排位日志【138】王者晋级赛兰陵王大杀四方极限阴人！	德古拉Dracula	
王者荣耀德古拉解说：杨戬狗哥强势越塔浪死塔中！	2017-05-08 00:00:00	16:41	本期德古拉为大家带来王者局杨戬第一视角实战攻略，杨戬王者局的犀利常态，遇人秒人专切后排！	q0500pe4mce	王者荣耀德古拉解说：杨戬狗哥强势越塔浪死塔中！	德古拉Dracula	
王者荣耀德古拉解说：半肉李白死磕到底强上高地就是钢！	2017-05-08 00:00:00	12:42	本期德古拉为大家带来钻石局李白第一视角实战攻略，半肉李白一样输出给力，而且能抗伤害！	p05001whgi5	王者荣耀德古拉解说：半肉李白死磕到底强上高地就是钢！	德古拉Dracula	
王者荣耀德古拉解说：宫本大乱斗以命搏命凶猛异常！	2017-05-08 00:00:00	08:39	本期德古拉为大家带来英雄宫本大乱斗模式第一视角视频，为了速推只能以命搏命的打法了！	f0500q2qkux	王者荣耀德古拉解说：宫本大乱斗以命搏命凶猛异常！	德古拉Dracula	
王者荣耀德古拉解说：张飞火焰山罩盾打辅助依旧很犀利！	2017-05-08 00:00:00	04:55	本期德古拉为大家带来英雄张飞火焰山模式第一视角视频，神级辅助罩盾也能拿到MVP！	c0500fygccw	王者荣耀德古拉解说：张飞火焰山罩盾打辅助依旧很犀利！	德古拉Dracula	
王者排位日志【137】荣耀王者局杨戬6分钟15杀拆水晶！	2017-05-07 00:00:00	06:06	本期德古拉为大家带来荣耀王者局杨戬第一视角实战攻略，一个起飞的杨戬就是杀神，死磕越塔样样精通，6分钟15杀拆水晶傲视天下！	n0500iexr1m	王者排位日志【137】荣耀王者局杨戬6分钟15杀拆水晶！	德古拉Dracula	
王者荣耀德古拉解说：逆风露娜绝地反击从来不怂！	2017-05-07 00:00:00	17:38	本期德古拉为大家带来钻石局露娜第一视角实战攻略，从来都是逆风翻盘，手不抖心不慌，温水煮青蛙！	k05007eh88m	王者荣耀德古拉解说：逆风露娜绝地反击从来不怂！	德古拉Dracula	
王者荣耀德古拉解说：王者局大逆风韩信的彪悍人生！	2017-05-07 00:00:00	12:46	本期德古拉为大家带来王者局韩信第一视角实战攻略，逆风也有顺风的战绩和态度，就是队友的玻璃心让我心碎！	q0500roubv7	王者荣耀德古拉解说：王者局大逆风韩信的彪悍人生！	德古拉Dracula	
王者荣耀德古拉解说：虞姬大乱斗精准预判极限24杀！	2017-05-07 00:00:00	12:53	本期德古拉为大家带来英雄虞姬大乱斗模式第一视角视频，神射手24杀，打得对面那叫一个肝颤！	g05008rut0t	王者荣耀德古拉解说：虞姬大乱斗精准预判极限24杀！	德古拉Dracula	
王者荣耀德古拉解说：极限攻速鲁班七号站桩横扫一切！	2017-05-07 00:00:00	12:05	本期德古拉为大家带来5V5匹配鲁班七号第一视角实战攻略，只要攻速跟的上，见什么打什么没毛病！	q05003tafdx	王者荣耀德古拉解说：极限攻速鲁班七号站桩横扫一切！	德古拉Dracula	
王者荣耀德古拉解说：扁鹊火焰山疯狂磨血神级辅助！	2017-05-07 00:00:00	05:47	本期德古拉为大家带来英雄扁鹊火焰山模式第一视角视频，能毒能奶，偷摸输出，我们就是神辅助！	p0500ly4trp	王者荣耀德古拉解说：扁鹊火焰山疯狂磨血神级辅助！	德古拉Dracula	
王者荣耀德古拉解说：韩信高能王者晋级赛超嗨打法！	2017-05-06 00:00:00	16:15	本期德古拉为大家带来王者局韩信第一视角实战攻略，贱贱的打法，全场牵制让你目不暇接！	c05005rpt8z	王者荣耀德古拉解说：韩信高能王者晋级赛超嗨打法！	德古拉Dracula	
王者排位日志【136】虞姬风筝流无敌开场三线收割！	2017-05-06 00:00:00	13:27	本期德古拉为大家带来钻石局虞姬第一视角实战攻略，刺激的无敌凯瑞，寂寞的冷！	r0500u0w26i	王者排位日志【136】虞姬风筝流无敌开场三线收割！	德古拉Dracula	
王者荣耀德古拉解说：大逆风李白造福队友拯救世界！	2017-05-06 00:00:00	12:43	本期德古拉为大家带来5V5匹配李白第一视角实战攻略，我的左手还是很犀利的，嗨翻全场没毛病！	r05007bn4zk	王者荣耀德古拉解说：大逆风李白造福队友拯救世界！	德古拉Dracula	
王者荣耀德古拉解说：曹操残血1V2开大完全不怂！	2017-05-06 00:00:00	09:24	本期德古拉为大家带来5V5匹配曹操第一视角实战攻略，单挑无敌，两三个也没事，照样上！	h0500l639gd	王者荣耀德古拉解说：曹操残血1V2开大完全不怂！	德古拉Dracula	
王者荣耀德古拉解说：扁鹊带着4肉大乱斗，无赖战术！	2017-05-06 00:00:00	06:56	本期德古拉为大家带来英雄扁鹊大乱斗模式第一视角视频，带着三肉一辅助，横扫大乱斗的感觉，超酸爽！	b0500lc0gi1	王者荣耀德古拉解说：扁鹊带着4肉大乱斗，无赖战术！	德古拉Dracula	
王者荣耀德古拉解说：橘右京火焰山一刀镇全局，疯狂追击！	2017-05-05 00:00:00	05:05	本期德古拉为大家带来英雄橘右京火焰山模式第一视角视频，一刀三杀，看我怒气拔刀斩！	g0500xxxz11	王者荣耀德古拉解说：橘右京火焰山一刀镇全局，疯狂追击！	德古拉Dracula	
王者荣耀德古拉解说：王者韩信11杀0死浪翻全场！	2017-05-05 00:00:00	15:36	本期德古拉为大家带来王者局韩信第一视角实战攻略，浪神也能很稳，全场11杀够不够嗨！	f0399gikhio	王者荣耀德古拉解说：王者韩信11杀0死浪翻全场！	德古拉Dracula	
王者荣耀德古拉解说：虞姬速推套路，神射头弹无虚发！	2017-05-05 00:00:00	10:04	本期德古拉为大家带来钻石局虞姬一第一视角实战攻略，只要输出够稳，没有什么是速推不了的！	q0399s550ws	王者荣耀德古拉解说：虞姬速推套路，神射头弹无虚发！	德古拉Dracula	
